Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (percent);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (percent);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
13;1;+36.0014214051085;0.0813954996076054;COMPLETED;186.80055897435898;5.874028557789331;0;0;0;2.608;17099885.925925925;57761792;0;0;0;36940231.11111111;2048;10;200;1;100;450;80;10;1000
12;1;+34.6617302194839;0.0830993629709478;COMPLETED;190.84626743589746;5.397213546959834;0;0;0;3.070283377777778;17536246.51851852;57495096.88888889;0;0;0;42865550.222222224;2048;10;200;1;380;450;20;10;1000
11;1;+12.149237176216099;0.111731492916656;COMPLETED;180.85650957264957;8.439682023381854;0;0;0;25.38133333333333;26573300.444444444;70929066.66666667;0;0;0;47474460.44444445;128;10;200;1;380;450;80;10;20000
10;1;+8.512955751781803;0.116356235368034;COMPLETED;184.49814247373385;9.685770706540282;0;0;0;25.424658263769626;21455496.296296295;62343243.85185185;0;0;0;41736419.55555555;1508;1;167;1;249;420;33;3;17032
9;1;+3.4518372641058948;0.122793132513599;COMPLETED;180.46073982905983;10.418022810978579;0;0;0;26.826666666666664;20116265.777777776;57844622.222222224;0;0;0;42357987.55555555;1028;9;130;4;179;339;48;6;2781
8;1;+5.6673217586233005;0.119975406381811;COMPLETED;189.35963209844897;10.3687575856834;0;0;0;25.461149915578066;20207013.230769232;57688221.538461536;0;0;0;39755662.222222224;1688;9;97;3;152;390;23;5;11688
7;1;+22.7621813147857;0.0982336010972983;COMPLETED;191.25384615384615;7.827342464364974;0;0;0;25.904;20021451.259259257;56574862.222222224;0;0;0;38241166.222222224;1448;7;153;1;328;350;31;7;9312
6;1;-22.199609940155995;0.155417487721008;COMPLETED;188.24857555555556;13.739618042321876;0;0;0;26.749333333333333;19391205.62962963;57035434.666666664;0;0;0;48855836.44444445;488;2;78;3;187;188;61;2;18813
5;1;-0.24796435345499912;0.127498662038195;COMPLETED;186.3906728205128;9.106441781365355;0;0;0;26.312968177777776;33449942.46153846;84733321.84615384;0;0;0;58676906.666666664;968;5;191;4;117;430;46;9;14063
4;1;+15.407100732708201;0.107588034770301;COMPLETED;190.60363326226013;8.70590846175263;0;0;0;17.791636105188346;16723472;53900477.62962963;0;0;0;40738588.44444445;1928;10;116;2;258;269;77;4;4562
3;1;+9.091872055676397;0.115619950550136;COMPLETED;183.99950820512822;9.834935233494075;0;0;0;25.0011984;18063042.666666668;56735971.55555555;0;0;0;39664526.222222224;1328;7;144;2;135;168;42;7;3375
2;1;-25.770745273653993;0.159959375228797;COMPLETED;184.53123880341883;15.507076270834649;0;0;0;26.650915897435898;16990865.777777776;51944561.777777776;0;0;0;38550300.44444445;368;2;68;4;275;329;73;3;12875
1;5;0;0.123843204674011;COMPLETED;188.5090417094017;11.3654018727713;0;0;0;27.167999999999996;15690973.333333334;53422914.37037037;0;0;0;35347569.777777776;512;5;80;2;300;400;80;5;10000
1;4;0;0.121948360085987;COMPLETED;182.1583876923077;11.232960391438198;0;0;0;25.855999999999998;15281089.777777778;50889917.62962963;0;0;0;34450659.55555555;512;5;80;2;300;400;80;5;10000
1;3;0;0.125494750381918;COMPLETED;185.10467196581197;11.696286339074067;0;0;0;25.11494735042735;16442792.615384616;51690732.307692304;0;0;0;34278627.55555555;512;5;80;2;300;400;80;5;10000
