Exp ;Trial;Relative Score;Score;Status;metric-collector.accepted_spans_rate (spans/s);metric-collector.cpu_millicores (millicores);metric-collector.dropped_logs (logs);metric-collector.dropped_metric_points (points);metric-collector.dropped_spans (span);metric-collector.exported_spans_rate (spans/s);metric-collector.heap_alloc_bytes (bytes);metric-collector.memory_rss_bytes (bytes);metric-collector.refused_log_records (records);metric-collector.refused_metric_points (points);metric-collector.refused_spans (spans);metric-collector.working_set_bytes (bytes);parameter-collector.batch_send_size;parameter-collector.batch_timeout_s;parameter-collector.gogc;parameter-collector.gomaxprocs;parameter-collector.gomemlimit_mib;parameter-collector.memory_limit_mib;parameter-collector.memory_spike_mib;parameter-collector.tail_decision_wait_s;parameter-collector.tail_num_traces
26;1;+35.2607776545962;0.0464783151267575;COMPLETED;550.4222444444445;12.611040108002214;0;0;0;0.4746666666666667;9659038.222222222;42099294.81481481;0;0;0;22823708.444444444;2048;10;50;1;380;450;20;10;1000
25;1;+35.7398448480411;0.046134377785882;COMPLETED;558.0394069230769;12.756750948740702;0;0;0;0.2986666666666667;9518728.888888888;41498244.74074074;0;0;0;22141496.888888888;1928;10;50;1;380;450;20;10;1000
24;1;+34.528843511950804;0.0470037935693684;COMPLETED;552.3745555555555;12.96215314929467;0;0;0;0.6444088888888888;10248676.923076924;43301651.692307696;0;0;0;22633927.111111112;128;1;50;1;100;450;20;10;1000
23;1;+22.124477091362504;0.0559092766838841;COMPLETED;553.1604929059829;15.974210705901482;0;0;0;0.13866666666666666;9977328.888888888;43650465.18518519;0;0;0;25727772.444444444;128;1;50;2;100;128;80;10;1000
22;1;+34.377463962543196;0.0471124736885637;COMPLETED;550.3940512820512;13.122318123314813;0;0;0;0.6506666666666666;10022227.25925926;43021046.518518515;0;0;0;22406669.837837838;2048;1;50;1;100;128;80;10;1000
21;1;+33.703492633326306;0.0475963388122227;COMPLETED;556.6289051282051;12.864399332326634;0;0;0;0.2773333333333333;10097979.555555556;44049142.518518515;0;0;0;23480092.444444444;128;1;50;1;100;128;80;10;1000
20;1;+34.914039704827104;0.0467272491595111;COMPLETED;555.7509572455579;13.317672312638576;0;0;0;0.21333333333333335;10519490.962962963;40811178.666666664;0;0;0;21573518.222222224;128;1;50;1;100;128;80;10;1000
19;1;+32.446417669244596;0.0484988322961083;COMPLETED;559.4921282051282;13.768164537404184;0;0;0;0.28800000000000003;10300037.037037037;43320661.333333336;0;0;0;22508316.444444444;2048;1;50;1;100;128;80;10;1000
18;1;+34.5826653371796;0.0469651531955261;COMPLETED;551.7510667521367;12.740071206324268;0;0;0;0.2293333333333333;10350062.814814815;43137099.85185185;0;0;0;23069354.666666668;2048;1;50;1;100;128;80;10;1000
17;1;+31.699688640465794;0.0490349324507982;COMPLETED;563.2929274358975;13.53654225485875;0;0;0;0.32;9639888;41311952.59259259;0;0;0;23581354.666666668;128;10;50;1;100;128;80;10;1000
16;1;+32.1150872627432;0.0487367047710399;COMPLETED;556.5736597435897;13.605501941997817;0;0;0;0.30933333333333335;10092764.444444444;44469968.59259259;0;0;0;23113045.333333332;128;1;50;1;100;128;80;10;1000
15;1;-2.291985233896998;0.0734386196250044;COMPLETED;556.0133844444445;22.69182025629562;0;0;0;74.59733333333334;10241053.538461538;47165124.92307692;0;0;0;30123804.444444444;128;1;50;1;100;128;20;2;1000
14;1;+25.501508236512606;0.0534848002680301;COMPLETED;552.6034847863248;9.347329052801983;0;0;0;0.28800000000000003;17052138.666666668;57006155.85185185;0;0;0;37355630.7027027;128;10;200;1;100;128;80;10;1000
13;1;+25.621154463034202;0.0533989024951108;COMPLETED;557.0206964102564;9.979686114227468;0;0;0;1.024;17604008.307692308;55780115.692307696;0;0;0;35905422.222222224;128;1;200;1;380;450;80;10;1000
12;1;+27.5751187983839;0.0519960903074652;COMPLETED;583.0106666666667;10.062817476103792;0;0;0;0.7413333333333333;14725733.333333334;54756086.518518515;0;0;0;34220640.86486486;128;1;200;1;100;450;80;10;1000
11;1;+27.544684278072594;0.052017940202699;COMPLETED;549.4589148717948;9.888271384444105;0;0;0;0.8586666666666666;14950690.370370371;52154671.40740741;0;0;0;34618936.88888889;128;3;167;1;100;128;51;9;1000
10;1;+6.083361813260302;0.0674256956934061;COMPLETED;553.7132745299145;14.484601369787883;0;0;0;37.285333333333334;16957827.259259257;56842619.25925926;0;0;0;41292344.88888889;1028;9;130;2;179;339;48;6;2031
9;1;-23.17050139344401;0.0884279602177159;COMPLETED;555.5176205128205;24.30057161751136;0;0;0;86.65824533333333;17843002.153846152;59223591.384615384;0;0;0;42763719.11111111;1688;9;97;2;152;390;23;5;7188
8;1;-9.916283666380998;0.0789123422359244;COMPLETED;555.9461466666667;18.57102148010413;0;0;0;77.88969013333333;18817726.814814813;63875451.25925926;0;0;0;44850517.333333336;1448;7;153;1;328;350;31;7;5812
7;1;-30.185256235354995;0.0934640723962;COMPLETED;556.6509128205128;25.021534421298764;0;0;0;69.28101452991453;18276375.703703705;58596465.777777776;0;0;0;46622947.55555555;488;2;78;2;187;188;61;2;11313
6;1;-22.590401512647993;0.0880114883466017;COMPLETED;552.2381186324786;19.969018811158914;0;0;0;77.67497742222221;27150968.592592593;77372529.77777778;0;0;0;51618474.666666664;968;5;191;2;117;430;46;9;8563
5;1;+3.278256597200402;0.0694395685740555;COMPLETED;557.0937303418804;17.91042674986413;0;0;0;64.29333333333334;14652760.296296297;53552621.03703704;0;0;0;36097820.44444445;1928;10;116;1;258;269;77;4;3062
4;1;+12.396912484790402;0.0628929999480893;COMPLETED;561.0627598290598;13.632393562640567;0;0;0;35.81333333333333;17109060.14814815;57863585.18518519;0;0;0;38255502.222222224;1328;7;144;1;135;168;42;7;2375
3;1;-20.154591043881;0.0862627437300478;COMPLETED;552.3324653846154;26.192473566548426;0;0;0;73.184;15402892.615384616;51073496.615384616;0;0;0;36376007.11111111;368;2;68;2;275;329;73;3;7875
2;1;-6.876396642508009;0.0767299121429045;COMPLETED;564.347398034188;21.18525500808419;0;0;0;67.76;16054005.333333334;54590426.074074075;0;0;0;36893127.11111111;1808;9;106;1;205;410;58;5;5125
1;3;0;0.0676561451606011;COMPLETED;556.3612325641026;18.00036380615774;0;0;0;79.45066666666666;15275234.074074075;51445153.18518519;0;0;0;33989745.777777776;512;5;100;1;250;300;60;5;5000
1;2;0;0.0724677845455104;COMPLETED;555.4121636752136;19.98259315640863;0;0;0;78.1485511111111;15731061.037037037;52392694.518518515;0;0;0;34899399.11111111;512;5;100;1;250;300;60;5;5000
1;1;0;0.0752554652398824;COMPLETED;553.4923076923077;20.75553281393404;0;0;0;78.31466666666667;14987725.333333334;51979301.925925925;0;0;0;36232773.18918919;512;5;100;1;250;300;60;5;5000
